Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
173,30*,RM,56.0,8960,Pave,Grvl,0,Lvl,4,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,DNE,0.0,3,3,CBlock,TA,TA,No,Unf,0.0,Unf,1008.0,1008.0,GasA,4,Y,FuseA,1028,0,0,1028,0.0,0.0,1,0,2,1,3,5,8,1,Gd,Detchd,1927.0,Unf,2.0,360.0,TA,TA,3,0,0,130,0,0,0,DNE,DNE,DNE,0,3,2010,WD ,115000
385,60*,FV,75.0,8004,Pave,DNE,1,Lvl,4,Inside,0,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,110.0,4,3,PConc,Gd,TA,No,GLQ,544.0,Unf,288.0,832.0,GasA,5,Y,SBrkr,832,1103,0,1935,1.0,0.0,2,1,3,1,3,8,8,0,DNE,BuiltIn,2009.0,Fin,2.0,552.0,TA,TA,3,0,150,0,0,0,0,DNE,DNE,DNE,0,12,2009,New,263435
2826,180*,RM,35.0,3675,Pave,DNE,0,Lvl,4,Inside,0,Edwards,Norm,Norm,TwnhsE,SLvl,5,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,3,3,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,547.0,GasA,4,Y,SBrkr,1072,0,0,1072,1.0,0.0,1,0,2,1,3,5,8,0,DNE,Basment,2005.0,Fin,2.0,525.0,TA,TA,3,0,28,0,0,0,0,DNE,DNE,DNE,0,5,2006,WD ,145000
2533,20*,RL,80.0,9600,Pave,DNE,0,Lvl,4,Corner,0,NAmes,Feedr,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,MetalSd,MetalSd,DNE,0.0,3,3,CBlock,TA,TA,No,ALQ,758.0,Unf,293.0,1051.0,GasA,4,Y,SBrkr,1051,0,0,1051,1.0,0.0,1,0,3,1,3,6,8,0,DNE,Attchd,1968.0,RFn,2.0,504.0,TA,TA,3,0,0,0,0,0,0,DNE,DNE,DNE,0,7,2006,WD ,142000
2858,70*,RL,60.0,9550,Pave,DNE,1,Lvl,4,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,DNE,0.0,3,3,BrkTil,TA,Gd,No,ALQ,216.0,Unf,540.0,756.0,GasA,4,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,4,7,8,1,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,3,0,35,272,0,0,0,DNE,DNE,DNE,0,2,2006,WD ,140000
2015,50*,RM,52.0,6240,Pave,DNE,0,Lvl,4,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,8,1939,1952,Gable,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,3,4,BrkTil,TA,TA,No,Rec,48.0,Unf,624.0,672.0,GasA,5,Y,SBrkr,899,423,0,1322,1.0,0.0,1,0,4,1,3,7,8,0,DNE,Detchd,1939.0,Unf,1.0,280.0,TA,TA,3,0,0,0,0,0,0,DNE,MnPrv,DNE,0,7,2007,WD ,132000
55,80*,RL,67.0,13300,Pave,DNE,1,Lvl,4,Inside,0,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,4,3,PConc,Gd,TA,No,GLQ,326.0,Unf,58.0,384.0,GasA,5,Y,SBrkr,744,630,0,1374,1.0,0.0,2,1,3,1,4,7,8,1,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,3,100,0,0,0,0,0,DNE,DNE,DNE,0,6,2010,WD ,184500
2034,70*,RM,60.0,6882,Pave,DNE,0,Lvl,4,Inside,0,IDOTRR,Norm,Norm,1Fam,2Story,6,7,1914,2006,Gable,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,3,3,PConc,TA,TA,No,Unf,0.0,Unf,684.0,684.0,GasA,3,Y,SBrkr,773,582,0,1355,0.0,0.0,1,1,3,1,4,7,8,0,DNE,DNE,1978.644525168656,DNE,0.0,0.0,DNE,DNE,3,136,0,115,0,0,0,DNE,DNE,DNE,0,3,2007,WD ,127000
626,20*,RL,80.0,14695,Pave,DNE,1,Lvl,4,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,8,1966,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,3,4,CBlock,TA,TA,No,ALQ,1387.0,Unf,175.0,1562.0,GasA,4,Y,SBrkr,1567,0,0,1567,1.0,0.0,2,0,2,1,4,5,8,2,Gd,Attchd,1966.0,Unf,2.0,542.0,TA,TA,3,0,110,0,0,342,0,DNE,GdWo,DNE,0,7,2009,WD ,256000
715,50*,RM,50.0,3500,Pave,Grvl,0,Lvl,4,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,DNE,0.0,3,3,CBlock,TA,TA,No,LwQ,312.0,Unf,408.0,720.0,GasA,3,Y,SBrkr,720,564,0,1284,0.0,0.0,1,1,2,1,3,5,8,0,DNE,Detchd,1948.0,Unf,1.0,240.0,TA,TA,3,0,35,0,0,0,0,DNE,MnWw,DNE,0,4,2009,WD ,110000
1804,20*,FV,100.0,11824,Pave,DNE,1,Lvl,4,Corner,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,298.0,4,3,PConc,Gd,TA,Av,Unf,0.0,Unf,1685.0,1685.0,GasA,5,Y,SBrkr,1685,0,0,1685,0.0,0.0,2,0,2,1,4,5,8,1,Gd,Attchd,2006.0,Fin,3.0,658.0,TA,TA,3,112,63,0,0,0,0,DNE,DNE,DNE,0,4,2007,WD ,253000
1581,20*,RL,47.0,12416,Pave,DNE,1,Lvl,4,Inside,0,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,VinylSd,Plywood,Stone,132.0,3,3,CBlock,Gd,Fa,No,ALQ,1398.0,LwQ,0.0,1606.0,GasA,3,Y,SBrkr,1651,0,0,1651,1.0,0.0,2,0,3,1,3,7,6,1,TA,Attchd,1986.0,Fin,2.0,616.0,TA,TA,3,192,0,0,0,0,0,DNE,DNE,DNE,0,11,2008,WD ,184000
2257,120*,RM,0.0,9763,Pave,DNE,1,Lvl,4,Inside,0,GrnHill,Norm,Norm,TwnhsE,1Story,7,5,1998,1998,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,239.0,4,3,PConc,Gd,TA,No,GLQ,1102.0,ALQ,328.0,1502.0,GasA,5,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,4,5,8,1,TA,Attchd,1998.0,Fin,1.0,286.0,TA,TA,3,0,0,0,0,0,0,DNE,DNE,DNE,0,9,2007,WD ,330000
781,20*,RL,0.0,9000,Pave,DNE,0,Lvl,4,Corner,0,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,3,3,Slab,DNE,DNE,DNE,DNE,0.0,DNE,0.0,0.0,GasA,2,N,SBrkr,660,0,0,660,0.0,0.0,1,0,2,1,2,5,6,0,DNE,DNE,1978.644525168656,DNE,0.0,0.0,DNE,DNE,1,0,0,100,0,0,0,DNE,DNE,DNE,0,6,2009,WD ,63900
218,90*,RL,72.0,10778,Pave,DNE,0,Lvl,4,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,DNE,0.0,3,3,CBlock,TA,TA,No,Unf,0.0,Unf,1768.0,1768.0,GasA,3,N,SBrkr,1768,0,0,1768,0.0,0.0,2,0,4,2,3,8,8,0,DNE,DNE,1978.644525168656,DNE,0.0,0.0,DNE,DNE,3,0,0,0,0,0,0,DNE,DNE,DNE,0,4,2010,WD ,136500
2032,45*,RM,57.0,7449,Pave,Grvl,0,Bnk,4,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,3,3,PConc,TA,TA,No,Unf,0.0,Unf,637.0,637.0,GasA,5,Y,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,4,6,8,1,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,1,0,0,205,0,0,0,DNE,GdPrv,DNE,0,6,2007,WD ,139400
2769,85*,RL,57.0,8846,Pave,DNE,1,Lvl,4,CulDSac,0,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,4,3,PConc,Gd,TA,Av,GLQ,298.0,Unf,572.0,870.0,GasA,5,Y,SBrkr,914,0,0,914,0.0,0.0,1,0,2,1,3,5,8,0,DNE,Detchd,1998.0,Unf,2.0,576.0,TA,TA,3,0,0,0,0,0,0,DNE,DNE,DNE,0,7,2006,WD ,148000
628,60*,RL,100.0,13000,Pave,DNE,0,Lvl,4,Corner,0,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,576.0,3,4,CBlock,Gd,TA,No,Rec,448.0,Unf,448.0,896.0,GasA,3,Y,SBrkr,1182,960,0,2142,0.0,0.0,2,1,4,1,4,8,8,1,Gd,Attchd,1968.0,Fin,1.0,509.0,TA,TA,3,0,72,0,0,252,0,DNE,DNE,DNE,0,6,2009,WD ,193500
1088,80*,RL,59.0,9587,Pave,DNE,1,Lvl,4,Inside,0,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,182.0,4,3,PConc,Gd,TA,Gd,GLQ,655.0,Unf,201.0,856.0,GasA,5,Y,SBrkr,1166,0,0,1166,1.0,0.0,2,0,2,1,4,5,8,0,DNE,Attchd,2005.0,Fin,2.0,400.0,TA,TA,3,212,0,0,0,0,0,DNE,DNE,DNE,0,7,2008,WD ,190000
2162,60*,RL,79.0,9245,Pave,DNE,1,Lvl,4,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,4,3,PConc,Gd,TA,Av,Unf,0.0,Unf,939.0,939.0,GasA,5,Y,SBrkr,939,858,0,1797,0.0,0.0,2,1,3,1,4,8,8,0,DNE,Attchd,2006.0,RFn,2.0,639.0,TA,TA,3,144,53,0,0,0,0,DNE,DNE,DNE,0,4,2007,WD ,213500
2575,20*,RL,70.0,8400,Pave,DNE,0,Lvl,4,Corner,0,NAmes,Feedr,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,BrkFace,BrkFace,DNE,0.0,3,3,CBlock,Fa,TA,Mn,BLQ,623.0,Unf,556.0,1179.0,GasA,4,Y,SBrkr,1364,0,0,1364,0.0,0.0,1,1,3,1,3,6,8,1,Gd,Attchd,1957.0,RFn,1.0,331.0,TA,TA,3,0,60,0,0,0,0,DNE,GdPrv,DNE,0,3,2006,WD ,132000
1832,20*,RL,43.0,12712,Pave,DNE,1,Lvl,4,CulDSac,0,Sawyer,RRAe,Norm,1Fam,1Story,6,7,1973,2006,Gable,CompShg,CemntBd,CmentBd,DNE,0.0,3,3,CBlock,Gd,TA,Mn,ALQ,968.0,Unf,76.0,1044.0,GasA,3,Y,SBrkr,1055,0,0,1055,1.0,0.0,1,0,2,1,4,5,8,1,TA,Attchd,1973.0,RFn,2.0,542.0,TA,TA,3,455,0,0,0,0,0,DNE,DNE,DNE,0,1,2007,WD ,147000
1428,60*,RL,59.0,11228,Pave,DNE,2,Lvl,4,CulDSac,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,4,3,PConc,Gd,TA,No,BLQ,50.0,GLQ,499.0,1080.0,GasA,5,Y,SBrkr,1080,1017,0,2097,0.0,1.0,2,1,3,1,4,9,8,1,TA,Attchd,1993.0,Unf,3.0,678.0,TA,TA,3,196,187,0,0,0,0,DNE,DNE,DNE,0,12,2008,WD ,228000
2499,80*,RL,100.0,14330,Pave,DNE,1,Low,4,Corner,0,Veenker,Norm,Norm,1Fam,SLvl,7,4,1974,1974,Gable,CompShg,WdShing,Wd Sdng,BrkFace,145.0,4,2,CBlock,Gd,TA,Gd,ALQ,1023.0,BLQ,228.0,1748.0,GasA,4,Y,SBrkr,2151,495,0,2646,1.0,2.0,2,0,3,1,4,9,5,4,TA,Attchd,1974.0,RFn,2.0,550.0,TA,TA,3,641,100,0,0,0,800,Gd,GdPrv,DNE,0,1,2006,WD ,260000
2772,20*,RL,0.0,8685,Pave,DNE,1,Lvl,4,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,3,3,PConc,Gd,TA,Mn,GLQ,846.0,Unf,579.0,1425.0,GasA,5,Y,SBrkr,1425,0,0,1425,1.0,0.0,2,0,3,1,3,5,8,0,DNE,Attchd,1998.0,RFn,2.0,591.0,TA,TA,3,0,130,0,0,0,0,DNE,DNE,DNE,0,5,2006,WD ,193000
916,50*,RL,57.0,7558,Pave,DNE,0,Bnk,4,Inside,0,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6,1928,1950,Gable,CompShg,BrkFace,Stone,DNE,0.0,3,3,BrkTil,TA,TA,No,Unf,0.0,Unf,896.0,896.0,GasA,4,Y,SBrkr,1172,741,0,1913,0.0,0.0,1,1,3,1,3,9,8,1,TA,Detchd,1929.0,Unf,2.0,342.0,Fa,Fa,3,0,0,0,0,0,0,DNE,DNE,DNE,0,3,2009,WD ,177000
613,80*,RL,85.0,11475,Pave,DNE,0,Lvl,4,Corner,0,NAmes,Norm,Norm,1Fam,SLvl,6,6,1961,1961,Hip,CompShg,HdBoard,HdBoard,BrkFace,90.0,3,3,CBlock,TA,TA,Gd,ALQ,568.0,Unf,640.0,1208.0,GasA,5,Y,SBrkr,1576,0,0,1576,1.0,0.0,1,0,4,1,4,7,8,1,Po,BuiltIn,1961.0,Fin,2.0,368.0,TA,TA,3,85,0,0,0,0,0,DNE,DNE,DNE,0,9,2009,WD ,174500
1637,60*,RL,98.0,12328,Pave,DNE,1,Lvl,4,Inside,0,StoneBr,Norm,Norm,1Fam,2Story,8,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,Stone,146.0,4,3,PConc,Ex,TA,Mn,GLQ,986.0,Unf,163.0,1149.0,GasA,5,Y,SBrkr,1164,1377,0,2541,1.0,0.0,3,1,4,1,5,10,8,1,Gd,BuiltIn,2005.0,Fin,3.0,729.0,TA,TA,3,120,32,0,0,0,0,DNE,DNE,DNE,0,7,2007,WD ,349265
